"Source","FileName","HostelMatches","TotalLines","FirstMatch"
"booking_leaks","harvest_summary.log","0","0","None"
"breach_reports","harvest_summary.log","3","3","address_full: 000 pieces of personal data, including bank accoun from https://databreaches.net/"
"cybercrime","harvest_summary.log","0","0","None"
"darkreading","harvest_summary.log","0","0","None"
"hackernews","harvest_summary.log","49","143","address_full: 2024 breaches of Snowflake customer accounts .   T from https://thehackernews.com/sear"
"hostel_vulns","harvest_summary.log","0","4","None"
"hostel_vuln_search","harvest_summary.log","0","0","None"
"infosecurity","harvest_summary.log","56","322","address_full: 7 August from https://www.infosecurity-magazine.com/data-breaches/"
"krebs","harvest_summary.log","2","178","address_full: 2021 breach at T-Mobile that exposed the personal  from https://krebsonsecurity.com/20"
"madmonkey_search","harvest_summary.log","0","0","None"
"scmagazine","harvest_summary.log","0","0","None"
"securityweek","harvest_summary.log","0","0","None"
"security_news","harvest_summary.log","38","156","address_full: 49 AM 0 Hackers breach TrueConf to trojanize clien from https://www.bleepingcomputer.c"
"techcrunch_security","harvest_summary.log","8","261","address_full: 2026 In Brief AI music generator Suno breach affec from https://techcrunch.com/author/"
"zdnet_security","harvest_summary.log","1","690","address_full: 2026 Show more What is a DNS leak, and why does it from https://www.zdnet.com/article/"
