Term,Domain,Definition
Cybersecurity,1,The act or series of acts one takes to prevent the unauthorized use of electronic data.
Phishing,1,A method of coercion used to attempt to get people to give up personal information via email website or text message.
Attachment,1,A file added to an email
Pig Butchering,1,A form of social engineering where one attempts to entice money from an individual with the promise of a huge return.
Smishing,1,A type of phishing that attempts to get information from someone via Short Messaging Service (SMS).
Social Engineering,1,A group of techniques used to attempt to obtain confidential information from a person.
Spear Phishing,1,A targeted phishing attack against a specific person or group used as an attempt to obtain compromising information.
Whaling,1,A type of phishing that goes after high-profile people.
Authentication,2,The act of verifying a person or device's identity to an app network or system.
Baiting,2,A form of social engineering where a trap is set and used as an attempt to perform malicious activity on a device or get a person to give up information.
Biometrics,2,The reading of a bodily measurement such as an eye retina fingerprint or voice used for authentication purposes.
Dark Web,2,A group of private computer networks that is a common haven for the sharing of confidential information and for illegal cyberactivity.
Decryption,2,The act of unscrambling using a key encrypted data to its original form.
Digital Footprint,2,A person's overall information stored on computers and servers throughout the world.
Encryption,2,The act of scrambling data to make it unreadable without a decryption key.
Impersonation,2,A form of social engineering in which an attacker pretends to be a person of authority to get information.
Multifactor Authentication,2,Two or more authentication methods are required to verify identity to a network app system or device.
OSINT,2,Open Source Intelligence - the gathering of information about a person or place using available public sources.
Password Manager,2,An app that is used to store a person's passwords using encryption.
Pretexting,2,An act of impersonation that plays on people's emotions to attempt to get information.
Allowlisting,3,A list that defines which devices and IP addresses are approved to be on a network.
App Store,3,A software app from which apps for iOS devices are downloaded.
Blocklisting,3,A list of specific devices and addresses not allowed on a device or network.
Cached Image,3,An image saved from a web browser so that it does not need to reload every time someone visits webpage containing the image.
Cookie,3,A text file that stores user information from a website on a device so the website remembers the user on their next visit.
Firewall,3,A hardware device or software app that protects a device or network from unwanted inbound or outbound traffic.
InPrivate Browsing,3,Web browsing that does not store where a person is browsing in their browsing history.
IOS,3,The operating system present on iPhones and iPads.
Malware,3,Malicious software or code used to disrupt delete or change data on a device or network.
Microsoft Store,3,A software app used to obtain Windows apps securely.
Play Store,3,An app that Android devices access to obtain apps for those devices.
Pop-Up Blocker,3,An app or tool that prevents unwanted advertisements from displaying in separate windows on webpages.
Spam Filter,3,A tool used to attempt to prevent malicious emails from reaching a client's inbox.
Virus,3,A form of malware that needs a carrier to propagate through a system.
Principle of Least Privilege,4,A permission state in which people only have the permissions they need to access resources necessary to perform their job duties.
Shoulder Surfing,4,A form of social engineering in which a person captures what another person is doing through surveillance often over the victim's shoulder.
Evil Twin,5,A wireless access point used for malicious purposes that has the same SSID as a nearby legitimate access point.
Personal Hotspot,5,A mobile device mechanism that allows one to use that mobile device as an access point to the internet.
SSID,5,A Service Set Identifier - a setting used to identify a wireless network.
