Domain,Objective,Subtopic,Lesson Number
1,Protecting Email,Avoiding Email Scams,1.1
1,Protecting Email,What is cybersecurity,1.1.1
1,Protecting Email,Phishing,1.1.2
1,Protecting Email,Looking for details,1.1.3
1,Protecting Email,Attachments,1.1.4
1,Protecting Email,More terms,1.1.5
2,Protecting Your Information,Authentication and Intelligence,2.1
2,Protecting Your Information,Digital footprint,2.1.1
2,Protecting Your Information,Managing passwords,2.1.2
2,Protecting Your Information,Keeping passwords safe,2.1.3
2,Protecting Your Information,Multifactor authentication (MFA),2.1.4
2,Protecting Your Information,Open Source Intelligence (OSINT),2.1.5
2,Protecting Your Information,Social engineering,2.1.6
3,Protecting Devices,Types of Protection,3.1
3,Protecting Devices,Antivirus protection,3.1.1
3,Protecting Devices,Firewalls,3.1.2
3,Protecting Devices,Allow vs. deny,3.1.3
3,Protecting Devices,Internet safety,3.1.4
3,Protecting Devices,Downloading apps,3.1.5
4,Physical Security,Types of Physical Security,4.1
4,Physical Security,Personal security,4.1.1
4,Physical Security,Equipment security,4.1.2
4,Physical Security,Block lock and pocket,4.1.3
5,Working Remotely,Wi-Fi and Video Settings,5.1
5,Working Remotely,Public Wi-Fi,5.1.1
5,Working Remotely,Private Wi-Fi,5.1.2
5,Working Remotely,Video meetings,5.1.3
